word,rarity,reason
comp,4,cyclic-reference:comp
conf,4,excluded-usage:abbreviation
corp,2,cyclic-reference:corp
Cree,4,capitalized-only-without-lowercase-source
creo,4,excluded-usage:abbreviation
Crow,4,duplicate-after-lowercasing
cust,4,excluded-usage:abbreviation
Dada,4,duplicate-after-lowercasing
Dame,4,duplicate-after-lowercasing
Dane,4,capitalized-only-without-lowercase-source
Desi,4,capitalized-only-without-lowercase-source
dest,4,excluded-usage:abbreviation
diag,4,excluded-usage:abbreviation
dich,4,obsolete-or-invalid-form
Doge,4,duplicate-after-lowercasing
drie,4,obsolete-or-invalid-form
Duke,4,duplicate-after-lowercasing
Earl,4,duplicate-after-lowercasing
ebbe,4,obsolete-or-invalid-form
eMac,4,capitalized-only-without-lowercase-source
eres,4,excluded-root:ere
Erse,4,capitalized-only-without-lowercase-source
Euro,4,duplicate-after-lowercasing
Even,4,duplicate-after-lowercasing
fait,4,excluded-usage:misspelling
Fang,4,duplicate-after-lowercasing
Fell,4,duplicate-after-lowercasing
Fiat,4,duplicate-after-lowercasing
fier,4,obsolete-or-invalid-form
Finn,4,capitalized-only-without-lowercase-source
Flip,4,duplicate-after-lowercasing
fMRI,4,capitalized-only-without-lowercase-source
Ford,4,duplicate-after-lowercasing
Fore,4,duplicate-after-lowercasing
foto,4,excluded-usage:nonstandard
Frau,4,capitalized-only-without-lowercase-source
Fred,4,capitalized-only-without-lowercase-source
fuck,4,excluded-usage:vulgar
Fula,4,capitalized-only-without-lowercase-source
Gary,4,capitalized-only-without-lowercase-source
Gaul,4,capitalized-only-without-lowercase-source
Geat,4,duplicate-after-lowercasing
Germ,4,duplicate-after-lowercasing
ghit,4,excluded-usage:abbreviation
Gill,4,duplicate-after-lowercasing
Glen,4,duplicate-after-lowercasing
Gnat,4,duplicate-after-lowercasing
Gold,4,duplicate-after-lowercasing
govt,4,excluded-usage:abbreviation
Grab,4,duplicate-after-lowercasing
Grad,4,duplicate-after-lowercasing
Grey,4,duplicate-after-lowercasing
Grit,4,duplicate-after-lowercasing
gutt,4,obsolete-or-invalid-form
Hall,4,duplicate-after-lowercasing
Hang,4,duplicate-after-lowercasing
Hans,4,capitalized-only-without-lowercase-source
Hebe,4,excluded-usage:offensive
hebe,4,excluded-usage:offensive
Herr,4,capitalized-only-without-lowercase-source
hESC,4,capitalized-only-without-lowercase-source
HiFi,4,capitalized-only-without-lowercase-source
Home,4,duplicate-after-lowercasing
Hopi,4,capitalized-only-without-lowercase-source
hosp,4,excluded-usage:abbreviation
hout,4,excluded-usage:slur
Hugo,4,capitalized-only-without-lowercase-source
Hulk,4,duplicate-after-lowercasing
iDTV,4,capitalized-only-without-lowercase-source
iMac,4,capitalized-only-without-lowercase-source
Inca,4,capitalized-only-without-lowercase-source
inne,4,obsolete-or-invalid-form
inst,4,cyclic-reference:inst
Inuk,4,capitalized-only-without-lowercase-source
Iowa,4,capitalized-only-without-lowercase-source
iPod,4,capitalized-only-without-lowercase-source
Ital,4,duplicate-after-lowercasing
Jack,4,duplicate-after-lowercasing
Jane,4,capitalized-only-without-lowercase-source
Java,4,duplicate-after-lowercasing
Jedi,4,capitalized-only-without-lowercase-source
Jeep,4,capitalized-only-without-lowercase-source
Jehu,4,duplicate-after-lowercasing
jour,4,excluded-usage:abbreviation
Jute,4,duplicate-after-lowercasing
Kami,4,duplicate-after-lowercasing
kewl,4,excluded-usage:nonstandard
Kiev,4,capitalized-only-without-lowercase-source
kike,4,"excluded-usage:offensive;excluded-usage:offensive,slur"
King,4,duplicate-after-lowercasing
Kiwi,4,duplicate-after-lowercasing
kral,4,obsolete-or-invalid-form
kudo,4,excluded-usage:nonstandard
Kuna,4,duplicate-after-lowercasing
Lady,4,duplicate-after-lowercasing
Lamb,4,duplicate-after-lowercasing
Laos,4,capitalized-only-without-lowercase-source
Lego,4,duplicate-after-lowercasing
Lent,4,duplicate-after-lowercasing
Lion,4,duplicate-after-lowercasing
Lord,4,duplicate-after-lowercasing
Love,4,duplicate-after-lowercasing
Lucy,4,capitalized-only-without-lowercase-source
Ludo,4,duplicate-after-lowercasing
LUDs,4,capitalized-only-without-lowercase-source
Luna,4,duplicate-after-lowercasing
Mach,4,capitalized-only-without-lowercase-source
Mack,4,capitalized-only-without-lowercase-source
Main,4,duplicate-after-lowercasing
Male,4,duplicate-after-lowercasing
Mali,4,duplicate-after-lowercasing
Mann,4,duplicate-after-lowercasing
Manx,4,duplicate-after-lowercasing
Mari,4,capitalized-only-without-lowercase-source
Mark,4,duplicate-after-lowercasing
Mars,4,duplicate-after-lowercasing
Mass,4,duplicate-after-lowercasing
Maus,4,capitalized-only-without-lowercase-source
Maya,4,duplicate-after-lowercasing
maye,4,obsolete-or-invalid-form
Mayo,4,duplicate-after-lowercasing
mens,4,excluded-usage:abbreviation;excluded-usage:misspelling;excluded-usage:nonstandard;obsolete-or-invalid-form
mets,4,excluded-usage:abbreviation
mgmt,4,excluded-usage:abbreviation
Mick,4,duplicate-after-lowercasing
Mike,4,duplicate-after-lowercasing
Mine,4,duplicate-after-lowercasing
Mini,4,duplicate-after-lowercasing
mish,4,excluded-usage:abbreviation
Miss,4,duplicate-after-lowercasing
mofo,4,"excluded-usage:abbreviation,vulgar"
Moor,4,duplicate-after-lowercasing
Moro,4,capitalized-only-without-lowercase-source
mRNA,4,capitalized-only-without-lowercase-source
mths,4,excluded-root:mth
Mull,4,duplicate-after-lowercasing
Muse,4,duplicate-after-lowercasing
NaCl,4,capitalized-only-without-lowercase-source
nazi,2,capitalized-root:Nazi
Nazi,4,capitalized-root:Nazi
nbsp,4,"excluded-usage:abbreviation,initialism"
nemo,4,"excluded-usage:abbreviation,acronym"
Nike,4,capitalized-only-without-lowercase-source
Noah,4,capitalized-only-without-lowercase-source
Nova,4,duplicate-after-lowercasing
oare,4,obsolete-or-invalid-form
Oboe,4,duplicate-after-lowercasing
olde,4,obsolete-or-invalid-form
Omer,4,duplicate-after-lowercasing
Oreo,4,capitalized-only-without-lowercase-source
Paki,4,duplicate-after-lowercasing
Pali,4,capitalized-only-without-lowercase-source
Palm,4,duplicate-after-lowercasing
Peep,4,duplicate-after-lowercasing
Peke,4,capitalized-only-without-lowercase-source
pers,4,excluded-usage:nonstandard
Phil,4,capitalized-only-without-lowercase-source
pico,4,excluded-usage:abbreviation
Pike,4,duplicate-after-lowercasing
piss,2,excluded-usage:vulgar
Pkwy,4,capitalized-only-without-lowercase-source
poka,4,excluded-usage:misspelling
Pole,4,duplicate-after-lowercasing
pomo,4,excluded-usage:abbreviation
Pony,4,duplicate-after-lowercasing
Pope,4,duplicate-after-lowercasing
poss,4,cyclic-reference:poss
Pres,4,excluded-root:pre
pres,4,excluded-root:pre
prez,4,excluded-usage:abbreviation
pris,4,obsolete-or-invalid-form
Puma,4,duplicate-after-lowercasing
pyll,4,obsolete-or-invalid-form
Rand,4,duplicate-after-lowercasing
rato,4,capitalized-root:RATO
RNAi,4,capitalized-only-without-lowercase-source
Rose,4,duplicate-after-lowercasing
Roxy,4,capitalized-only-without-lowercase-source
Ruby,4,duplicate-after-lowercasing
Sadh,4,capitalized-only-without-lowercase-source
Said,4,duplicate-after-lowercasing
Sami,4,capitalized-only-without-lowercase-source
Sati,4,duplicate-after-lowercasing
Scot,4,duplicate-after-lowercasing
sein,4,obsolete-or-invalid-form
Sekt,4,capitalized-only-without-lowercase-source
Serb,4,capitalized-only-without-lowercase-source
sexe,4,obsolete-or-invalid-form
shat,3,excluded-root:shit
Shay,4,duplicate-after-lowercasing
shit,4,excluded-usage:vulgar
Sikh,4,capitalized-only-without-lowercase-source
sinn,4,obsolete-or-invalid-form
Slav,4,capitalized-only-without-lowercase-source
Sony,4,duplicate-after-lowercasing
Sora,4,duplicate-after-lowercasing
Sorb,4,duplicate-after-lowercasing
spaz,4,excluded-usage:offensive
spic,4,"excluded-usage:offensive,slur;excluded-usage:slur"
spik,4,excluded-root:spic
Spur,4,duplicate-after-lowercasing
Stan,4,duplicate-after-lowercasing
sted,4,excluded-usage:abbreviation;obsolete-or-invalid-form
Sten,4,duplicate-after-lowercasing
Sufi,4,capitalized-only-without-lowercase-source
suis,4,excluded-root:sui
Svan,4,capitalized-only-without-lowercase-source
Swan,4,duplicate-after-lowercasing
tard,4,excluded-usage:offensive
tbsp,4,excluded-usage:abbreviation
Test,4,duplicate-after-lowercasing
Tewa,4,capitalized-only-without-lowercase-source
Thai,4,capitalized-only-without-lowercase-source
