word,lemma,esdb_pos
drays,dray,ns
dreaded,dread,vd
dreads,dread,vs
dreamed,dream,vd
dreams,dream,ms
dredged,dredge,vd
dredges,dredge,ms
dressed,dress,vd
dresses,dress,ms
drew,draw,vd
dried,dry,vd
drier,dry,aj1
dries,dry,vs
driest,dry,aj2
drifted,drift,vd
drifts,drift,ms
drilled,drill,vd
drills,drill,ms
drinks,drink,ms
dripped,drip,vd
drips,drip,ms
drivels,drivel,vs
driven,drive,vn
drivers,driver,ns
drives,drive,ms
driving,drive,vg
drogues,drogue,ns
droids,droid,ns
droller,droll,aj1
droned,drone,vd
drones,drone,ms
droning,drone,vg
drooled,drool,vd
drools,drool,vs
drooped,droop,vd
droops,droop,ms
dropped,drop,vd
drops,drop,ms
drove,drive,vd
drovers,drover,ns
droves,drove,ns
drowned,drown,vd
drowns,drown,vs
drowsed,drowse,vd
drowses,drowse,ms
drubbed,drub,vd
drubs,drub,vs
drudged,drudge,vd
drudges,drudge,ms
drugged,drug,vd
drugs,drug,ms
druids,druid,ns
drummed,drum,vd
drums,drum,ms
drunk,drink,vn
drunker,drunk,aj1
drunks,drunk,ns
drupes,drupe,ns
dryads,dryad,ns
dryers,dryer,ns
drying,dry,vg
drys,dry,ns
dubbed,dub,vd
dubbers,dubber,ns
dubbing,dub,vg
dubs,dub,ms
ducats,ducat,ns
duchies,duchy,ns
ducked,duck,vd
duckier,ducky,aj1
duckies,ducky,ns
ducking,duck,vg
ducks,duck,ns
ducks,duck,vs
ducts,duct,ns
duded,dude,vd
dudes,dude,ms
duding,dude,vg
duds,dud,ns
dueled,duel,vd
duelers,dueler,ns
dueling,duel,vg
duels,duel,ms
duennas,duenna,ns
dues,due,ns
duets,duet,ns
duffed,duff,vd
duffels,duffel,ns
duffers,duffer,ns
duffing,duff,vg
duffles,duffle,ns
duffs,duff,ns
duffs,duff,vs
dug,dig,vd
dugouts,dugout,ns
dukes,duke,ns
dulled,dull,vd
duller,dull,aj1
dullest,dull,aj2
dulling,dull,vg
dulls,dull,vs
dumbed,dumb,vd
dumber,dumb,aj1
dumbest,dumb,aj2
dumbing,dumb,vg
dumbos,dumbo,ns
dumbs,dumb,vs
dumdums,dumdum,ns
dummies,dummy,ns
dumped,dump,vd
dumpers,dumper,ns
dumpier,dumpy,aj1
dumping,dump,vg
dumps,dump,ms
dunces,dunce,ns
dunes,dune,ns
dunged,dung,vd
dunging,dung,vg
dungs,dung,vs
dunked,dunk,vd
dunking,dunk,vg
dunks,dunk,ms
dunned,dun,vd
dunner,dun,aj1
dunnest,dun,aj2
dunning,dun,vg
duns,dun,vs
duodena,duodenum,ns
duos,duo,ns
duped,dupe,vd
dupers,duper,ns
dupes,dupe,ms
duping,dupe,vg
durians,durian,ns
duskier,dusky,aj1
dusted,dust,vd
dusters,duster,ns
dustier,dusty,aj1
dusting,dust,vg
dustmen,dustman,ns
dusts,dust,vs
dustups,dustup,ns
duties,duty,ns
duvets,duvet,ns
dwarfed,dwarf,vd
dwarfs,dwarf,ns
dwarfs,dwarf,vs
dweebs,dweeb,ns
dwells,dwell,vs
dwelt,dwell,vd
dyads,dyad,ns
dyed,dye,vd
dyeing,dye,vg
dyers,dyer,ns
dyes,dye,ns
dyes,dye,vs
dying,die,vg
dykes,dyke,ns
dynamos,dynamo,ns
eagerer,eager,aj1
eagles,eagle,ns
eaglets,eaglet,ns
earbuds,earbud,ns
earfuls,earful,ns
earlier,early,a1
earls,earl,ns
earned,earn,vd
earners,earner,ns
earning,earn,vg
earns,earn,vs
ears,ear,ns
earthed,earth,vd
earths,earth,vs
earwigs,earwig,ns
eased,ease,vd
easels,easel,ns
eases,ease,vs
easier,easy,a1
easiest,easy,a2
easing,ease,vg
eaten,eat,vn
eaters,eater,ns
eating,eat,vg
eats,eat,vs
eaves,eave,ns
ebbed,ebb,vd
ebbing,ebb,vg
ebbs,ebb,ms
ebonies,ebony,ns
echoed,echo,vd
echoes,echo,ms
echoing,echo,vg
eclairs,eclair,ns
ecus,ecu,ns
eddied,eddy,vd
eddies,eddy,ms
eddying,eddy,vg
edged,edge,vd
edgers,edger,ns
edges,edge,ms
edgier,edgy,aj1
edgiest,edgy,aj2
edging,edge,vg
edgings,edging,ns
edibles,edible,ns
edicts,edict,ns
edified,edify,vd
edifies,edify,vs
edited,edit,vd
editing,edit,vg
editors,editor,ns
edits,edit,ms
educed,educe,vd
educes,educe,vs
educing,educe,vg
eels,eel,ns
eerier,eerie,aj1
eeriest,eerie,aj2
effaced,efface,vd
effaces,efface,vs
effects,effect,ms
effed,eff,vd
effing,eff,vg
efforts,effort,ns
effs,eff,vs
effused,effuse,vd
effuses,effuse,vs
eggcups,eggcup,ns
egged,egg,vd
egging,egg,vg
eggs,egg,ms
egoists,egoist,ns
egos,ego,ns
egrets,egret,ns
eiders,eider,ns
eighths,eighth,ns
eights,eight,ns
ejected,eject,vd
ejects,eject,vs
eked,eke,vd
ekes,eke,vs
eking,eke,vg
elands,eland,ns
elapsed,elapse,vd
elapses,elapse,vs
elated,elate,vd
elates,elate,vs
elating,elate,vg
elbowed,elbow,vd
elbows,elbow,ms
elders,elder,ns
elected,elect,vd
elects,elect,vs
elegies,elegy,ns
elevens,eleven,ns
elicits,elicit,vs
elided,elide,vd
elides,elide,vs
eliding,elide,vg
elites,elite,ns
elixirs,elixir,ns
elks,elk,ns
ells,ell,ns
elms,elm,ns
elodeas,elodea,ns
eloped,elope,vd
elopes,elope,vs
eloping,elope,vg
eluded,elude,vd
eludes,elude,vs
eluding,elude,vg
elvers,elver,ns
elves,elf,ns
emailed,email,vd
emails,email,ms
embalms,embalm,vs
embanks,embank,vs
embarks,embark,vs
embeds,embed,vs
embers,ember,ns
emblems,emblem,ns
embryos,embryo,ns
emceed,emcee,vd
emcees,emcee,ms
emended,emend,vd
emends,emend,vs
emerged,emerge,vd
emerges,emerge,vs
emetics,emetic,ns
emigres,emigre,ns
emirs,emir,ns
emits,emit,vs
emitted,emit,vd
emojis,emoji,ns
emos,emo,ns
emoted,emote,vd
emotes,emote,vs
emoting,emote,vg
empires,empire,ns
employs,employ,vs
emptied,empty,vd
emptier,empty,aj1
empties,empty,ms
ems,em,ns
emus,emu,ns
enabled,enable,vd
enables,enable,vs
enacted,enact,vd
enacts,enact,vs
enamels,enamel,vs
enamors,enamor,vs
encamps,encamp,vs
encased,encase,vd
encases,encase,vs
encoded,encode,vd
encodes,encode,vs
encored,encore,vd
encores,encore,ms
encysts,encyst,vs
endears,endear,vs
ended,end,vd
ending,end,vg
endings,ending,ns
endives,endive,ns
endowed,endow,vd
endows,endow,vs
ends,end,ms
endued,endue,vd
endues,endue,vs
enduing,endue,vg
endured,endure,vd
endures,endure,vs
enemas,enema,ns
enemies,enemy,ns
enfolds,enfold,vs
engaged,engage,vd
engages,engage,vs
engines,engine,ns
engrams,engram,ns
engulfs,engulf,vs
enigmas,enigma,ns
enjoins,enjoin,vs
enjoyed,enjoy,vd
enjoys,enjoy,vs
enlists,enlist,vs
enraged,enrage,vd
enrages,enrage,vs
enrolls,enroll,vs
ens,en,ns
ensigns,ensign,ns
ensued,ensue,vd
ensues,ensue,vs
ensuing,ensue,vg
ensured,ensure,vd
ensures,ensure,vs
entails,entail,vs
entered,enter,vd
enters,enter,vs
enticed,entice,vd
entices,entice,vs
entombs,entomb,vs
entraps,entrap,vs
entrees,entree,ns
entries,entry,ns
envied,envy,vd
envies,envy,vs
envoys,envoy,ns
envying,envy,vg
enzymes,enzyme,ns
eons,eon,ns
epees,epee,ns
epics,epic,ns
epochs,epoch,ns
epoxied,epoxy,vd
epoxies,epoxy,vs
equaled,equal,vd
equals,equal,ms
equated,equate,vd
equates,equate,vs
equines,equine,ns
equips,equip,vs
eras,era,ns
erased,erase,vd
erasers,eraser,ns
erases,erase,vs
erasing,erase,vg
erected,erect,vd
erects,erect,vs
ergs,erg,ns
ermines,ermine,ns
eroded,erode,vd
erodes,erode,vs
eroding,erode,vg
errands,errand,ns
errata,erratum,ns
erratas,errata,ns
erred,err,vd
erring,err,vg
errors,error,ns
errs,err,vs
eructed,eruct,vd
eructs,eruct,vs
erupted,erupt,vd
erupts,erupt,vs
escaped,escape,vd
escapes,escape,ms
eschews,eschew,vs
escorts,escort,ms
escrows,escrow,ns
escudos,escudo,ns
espied,espy,vd
espies,espy,vs
espying,espy,vg
essayed,essay,vd
essays,essay,ms
estates,estate,ns
esteems,esteem,vs
esters,ester,ns
etas,eta,ns
etched,etch,vd
etchers,etcher,ns
etches,etch,vs
etching,etch,vg
ethics,ethic,ns
ethnics,ethnic,ns
etudes,etude,ns
euchred,euchre,vd
euchres,euchre,vs
eunuchs,eunuch,ns
euros,euro,ns
evaded,evade,vd
evaders,evader,ns
evades,evade,vs
evading,evade,vg
evened,even,vd
evener,even,aj1
evenest,even,aj2
evening,even,vg
evens,even,ms
events,event,ns
eves,eve,ns
evicted,evict,vd
evicts,evict,vs
eviler,evil,aj1
evilest,evil,aj2
evils,evil,ns
evinced,evince,vd
evinces,evince,vs
evoked,evoke,vd
evokes,evoke,vs
evoking,evoke,vg
evolved,evolve,vd
evolves,evolve,vs
ewers,ewer,ns
ewes,ewe,ns
exacted,exact,vd
exacter,exact,aj1
exacts,exact,vs
exalted,exalt,vd
exalts,exalt,vs
exams,exam,ns
exceeds,exceed,vs
excels,excel,vs
excepts,except,vs
excised,excise,vd
excises,excise,ms
excited,excite,vd
excites,excite,vs
excused,excuse,vd
excuses,excuse,ms
execs,exec,ns
exempts,exempt,vs
exerted,exert,vd
exerts,exert,vs
exes,ex,ns
exhaled,exhale,vd
exhales,exhale,vs
exhorts,exhort,vs
exhumed,exhume,vd
exhumes,exhume,vs
exiled,exile,vd
exiles,exile,ms
exiling,exile,vg
existed,exist,vd
exists,exist,vs
exited,exit,vd
exiting,exit,vg
exits,exit,ms
exons,exon,ns
exotics,exotic,ns
expands,expand,vs
expats,expat,ns
expects,expect,vs
expels,expel,vs
expends,expend,vs
experts,expert,ns
expired,expire,vd
expires,expire,vs
exports,export,ms
expos,expo,ns
exposed,expose,vd
exposes,expose,ms
extends,extend,vs
extents,extent,ns
extols,extol,vs
extorts,extort,vs
extras,extra,ns
exuded,exude,vd
exudes,exude,vs
exuding,exude,vg
exulted,exult,vd
exults,exult,vs
exurbs,exurb,ns
eyed,eye,vd
eyefuls,eyeful,ns
eyeing,eye,vg
eyelets,eyelet,ns
eyelids,eyelid,ns
eyes,eye,ns
eyes,eye,vs
fables,fable,ns
fabrics,fabric,ns
facades,facade,ns
faced,face,vd
faces,face,ms
faceted,facet,vd
facets,facet,ms
facials,facial,ns
facing,face,vg
facings,facing,ns
factors,factor,ms
facts,fact,ns
faded,fade,vd
fades,fade,ms
fading,fade,vg
fads,fad,ns
faeries,faerie,ns
faffed,faff,vd
faffing,faff,vg
faffs,faff,ms
fagged,fag,vd
fagging,fag,vg
faggots,faggot,ns
fagots,fagot,ns
fags,fag,ms
failed,fail,vd
failing,fail,vg
fails,fail,ms
fainer,fain,a1
fainest,fain,a2
fainted,faint,vd
fainter,faint,aj1
faints,faint,ms
fairer,fair,a1
fairest,fair,a2
fairies,fairy,ns
fairs,fair,ns
faiths,faith,ns
fajitas,fajita,ns
faked,fake,vd
fakers,faker,ns
fakes,fake,ms
faking,fake,vg
fakirs,fakir,ns
falcons,falcon,ns
fallen,fall,vn
falling,fall,vg
fallows,fallow,vs
falls,fall,ms
falser,false,a1
falsest,false,a2
falsies,falsie,ns
falters,falter,ms
famines,famine,ns
fanboys,fanboy,ns
fancied,fancy,vd
fancier,fancy,aj1
fancies,fancy,ms
fandoms,fandom,ns
fanfics,fanfic,ns
fangs,fang,ns
fanned,fan,vd
fannies,fanny,ns
fanning,fan,vg
fans,fan,ms
farads,farad,ns
farces,farce,ns
fared,fare,vd
fares,fare,ms
faring,fare,vg
farmed,farm,vd
farmers,farmer,ns
farming,farm,vg
farms,farm,ms
farrows,farrow,ms
farther,far,a1
fascias,fascia,ns
fasted,fast,vd
fastens,fasten,vs
faster,fast,a1
fastest,fast,a2
fasting,fast,vg
fasts,fast,ms
fated,fate,vd
fates,fate,ms
fathers,father,ms
fathoms,fathom,ms
fating,fate,vg
fats,fat,ns
fatsos,fatso,ns
fattens,fatten,vs
fatter,fat,aj1
fattest,fat,aj2
fattier,fatty,aj1
fatties,fatty,ns
fatwas,fatwa,ns
faucets,faucet,ns
faulted,fault,vd
faults,fault,ms
faunas,fauna,ns
fauns,faun,ns
favas,fava,ns
favelas,favela,ns
faves,fave,ns
favored,favor,vd
favors,favor,ms
fawned,fawn,vd
fawners,fawner,ns
fawning,fawn,vg
fawns,fawn,ms
faxed,fax,vd
faxes,fax,ms
faxing,fax,vg
fays,fay,ns
fazed,faze,vd
fazes,faze,vs
fazing,faze,vg
feared,fear,vd
fearing,fear,vg
fears,fear,ms
feasted,feast,vd
feasts,feast,ms
feats,feat,ns
fed,feed,vd
fedoras,fedora,ns
feds,fed,ns
feebler,feeble,aj1
feeders,feeder,ns
feeding,feed,vg
feeds,feed,ms
feelers,feeler,ns
feeling,feel,vg
feels,feel,ms
fees,fee,ns
feet,foot,ns
feigned,feign,vd
feigns,feign,vs
feinted,feint,vd
feints,feint,ms
felines,feline,ns
fell,fall,vd
fellas,fella,ns
felled,fell,vd
feller,fell,aj1
fellers,feller,ns
fellest,fell,aj2
felling,fell,vg
fellows,fellow,ns
fells,fell,ms
felons,felon,ns
felt,feel,vd
felted,felt,vd
felting,felt,vg
felts,felt,vs
females,female,ns
femmes,femme,ns
femurs,femur,ns
fenced,fence,vd
fencers,fencer,ns
fences,fence,ms
fencing,fence,vg
fended,fend,vd
fenders,fender,ns
fending,fend,vg
fends,fend,vs
fens,fen,ns
fernier,ferny,aj1
ferns,fern,ns
ferrets,ferret,ms
ferried,ferry,vd
ferries,ferry,ms
ferules,ferule,ns
fessed,fess,vd
fesses,fess,vs
fessing,fess,vg
festers,fester,ms
fests,fest,ns
fetched,fetch,vd
fetches,fetch,vs
feted,fete,vd
fetes,fete,ms
feting,fete,vg
fetters,fetter,ms
fetuses,fetus,ns
feuded,feud,vd
feuding,feud,vg
feuds,feud,ms
fevers,fever,ns
fewer,few,d1
fewest,few,d2
fezzes,fez,ns
fiances,fiance,ns
fiats,fiat,ns
fibbed,fib,vd
fibbers,fibber,ns
fibbing,fib,vg
fibers,fiber,ns
fibrils,fibril,ns
fibs,fib,ms
fibulae,fibula,ns
fiches,fiche,ns
fichus,fichu,ns
fickler,fickle,aj1
fiddled,fiddle,vd
fiddles,fiddle,ms
fidgets,fidget,ms
fiefs,fief,ns
fielded,field,vd
fields,field,ms
fiends,fiend,ns
fiercer,fierce,aj1
fierier,fiery,aj1
fiestas,fiesta,ns
fifers,fifer,ns
fifes,fife,ns
fifths,fifth,ns
fifties,fifty,ns
fights,fight,ms
figs,fig,ns
figured,figure,vd
figures,figure,ms
filched,filch,vd
filches,filch,vs
filed,file,vd
filers,filer,ns
files,file,ms
filing,file,vg
filings,filing,ns
filled,fill,vd
fillers,filler,ns
fillets,fillet,ns
fillets,fillet,vs
fillies,filly,ns
filling,fill,vg
fillips,fillip,ms
fills,fill,vs
filmed,film,vd
filmier,filmy,aj1
filming,film,vg
films,film,ms
filters,filter,ms
finales,finale,ns
finals,final,ns
finches,finch,ns
finders,finder,ns
finding,find,vg
finds,find,ms
fined,fine,vd
finer,fine,a1
fines,fine,ms
finest,fine,a2
fingers,finger,ms
finials,finial,ns
fining,fine,vg
finises,finis,ns
finked,fink,vd
finking,fink,vg
finks,fink,ms
fins,fin,ns
fired,fire,vd
firemen,fireman,ns
firers,firer,ns
fires,fire,ms
firing,fire,vg
firings,firing,ns
firmed,firm,vd
firmer,firm,a1
firmest,firm,a2
firming,firm,vg
firms,firm,ms
firs,fir,ns
firsts,first,ns
firths,firth,ns
fiscals,fiscal,ns
fished,fish,vd
fishers,fisher,ns
fishes,fish,ns
fishes,fish,vs
fishier,fishy,aj1
fishing,fish,vg
fists,fist,ns
fits,fit,ms
fitted,fit,vd
fitter,fit,aj1
fitters,fitter,ns
fittest,fit,aj2
fitting,fit,vg
fivers,fiver,ns
fives,five,ns
fixated,fixate,vd
fixates,fixate,vs
fixed,fix,vd
fixers,fixer,ns
fixes,fix,ms
fixing,fix,vg
fizzed,fizz,vd
fizzes,fizz,vs
fizzier,fizzy,aj1
fizzing,fizz,vg
fizzled,fizzle,vd
fizzles,fizzle,ms
fjords,fjord,ns
flacks,flack,ns
flagged,flag,vd
flagmen,flagman,ns
flagons,flagon,ns
flags,flag,ms
flailed,flail,vd
flails,flail,ms
flairs,flair,ns
flaked,flake,vd
flakes,flake,ms
flakier,flaky,aj1
flaking,flake,vg
flamed,flame,vd
flames,flame,ms
flaming,flame,vg
flanges,flange,ns
flanked,flank,vd
flanks,flank,ms
flans,flan,ns
flapped,flap,vd
flaps,flap,ms
flared,flare,vd
flares,flare,ms
flaring,flare,vg
flashed,flash,vd
flashes,flash,ms
flasks,flask,ns
flats,flat,ms
flatted,flat,vd
flatter,flat,a1
flaunts,flaunt,ms
flavors,flavor,ms
flawed,flaw,vd
flawing,flaw,vg
flaws,flaw,ms
flayed,flay,vd
flaying,flay,vg
flays,flay,vs
fleas,flea,ns
flecked,fleck,vd
flecks,fleck,ms
fled,flee,vd
fleeced,fleece,vd
fleeces,fleece,ms
fleeing,flee,vg
flees,flee,vs
fleeted,fleet,vd
fleeter,fleet,aj1
fleets,fleet,ms
fleshed,flesh,vd
fleshes,flesh,vs
flew,fly,vd
flexed,flex,vd
flexes,flex,ms
flexing,flex,vg
flicked,flick,vd
flicks,flick,ms
flied,fly,vd
flier,fly,aj1
fliers,flier,ns
flies,fly,ns
flies,fly,vs
fliest,fly,aj2
flights,flight,ns
flings,fling,ms
flints,flint,ns
flipped,flip,vd
flipper,flip,aj1
flips,flip,ms
flirted,flirt,vd
flirts,flirt,ms
flits,flit,ms
flitted,flit,vd
floated,float,vd
floats,float,ms
flocked,flock,vd
flocks,flock,ms
floes,floe,ns
flogged,flog,vd
flogs,flog,vs
flooded,flood,vd
floods,flood,ms
floored,floor,vd
floors,floor,ms
flopped,flop,vd
flops,flop,ms
florals,floral,ns
floras,flora,ns
florets,floret,ns
florins,florin,ns
flossed,floss,vd
flosses,floss,vs
floured,flour,vd
flours,flour,vs
flouted,flout,vd
flouts,flout,ms
flowed,flow,vd
flowers,flower,ms
flowing,flow,vg
flown,fly,vn
flows,flow,ms
flubbed,flub,vd
flubs,flub,ms
flues,flue,ns
fluffed,fluff,vd
fluffs,fluff,ms
fluids,fluid,ns
flukes,fluke,ns
flukier,fluky,aj1
flumes,flume,ns
flung,fling,vd
flunked,flunk,vd
flunks,flunk,ms
flushed,flush,vd
flusher,flush,a1
flushes,flush,ms
fluted,flute,vd
flutes,flute,ms
fluting,flute,vg
fluxed,flux,vd
fluxes,flux,ms
fluxing,flux,vg
flybys,flyby,ns
flying,fly,vg
flyways,flyway,ns
foaled,foal,vd
foaling,foal,vg
foals,foal,ms
foamed,foam,vd
foamier,foamy,aj1
foaming,foam,vg
foams,foam,vs
fobbed,fob,vd
fobbing,fob,vg
fobs,fob,ms
focused,focus,vd
focuses,focus,ns
focuses,focus,vs
fodders,fodder,ns
foes,foe,ns
fogged,fog,vd
foggier,foggy,aj1
fogging,fog,vg
fogies,fogy,ns
fogs,fog,ms
foibles,foible,ns
foiled,foil,vd
foiling,foil,vg
foils,foil,ms
foisted,foist,vd
foists,foist,vs
folded,fold,vd
folders,folder,ns
folding,fold,vg
folds,fold,ms
folios,folio,ns
folks,folk,ns
follies,folly,ns
follows,follow,vs
foments,foment,vs
fonder,fond,aj1
fondest,fond,aj2
fondled,fondle,vd
fondles,fondle,vs
fondues,fondue,ns
fonts,font,ns
foodies,foodie,ns
foods,food,ns
fooled,fool,vd
fooling,fool,vg
fools,fool,ms
footed,foot,vd
footers,footer,ns
footing,foot,vg
footmen,footman,ns
foots,foot,vs
fops,fop,ns
foraged,forage,vd
forages,forage,vs
forayed,foray,vd
forays,foray,ms
forbade,forbid,vd
forbids,forbid,vs
forbore,forbear,vd
forced,force,vd
forces,force,ms
forcing,force,vg
forded,ford,vd
fording,ford,vg
fords,ford,ms
foremen,foreman,ns
fores,fore,ns
foresaw,foresee,vd
forests,forest,ms
forgave,forgive,vd
forged,forge,vd
forgers,forger,ns
forges,forge,ms
forgets,forget,vs
forging,forge,vg
forgoes,forgo,vs
forgone,forgo,vn
forgot,forget,vd
forked,fork,vd
forking,fork,vg
forks,fork,ms
formals,formal,ns
formats,format,ms
formed,form,vd
forming,form,vg
forms,form,ms
forsook,forsake,vd
fortes,forte,ns
forties,forty,ns
forts,fort,ns
forums,forum,ns
forwent,forgo,vd
fossas,fossa,ns
fossils,fossil,ns
fosters,foster,vs
fought,fight,vd
fouled,foul,vd
fouler,foul,aj1
foulest,foul,aj2
fouling,foul,vg
fouls,foul,ms
found,find,vd
founded,found,vd
founds,found,vs
founts,fount,ns
fours,four,ns
fourths,fourth,ns
fowled,fowl,vd
fowling,fowl,vg
fowls,fowl,ns
fowls,fowl,vs
foxed,fox,vd
foxes,fox,ms
foxier,foxy,aj1
foxiest,foxy,aj2
foxing,fox,vg
foyers,foyer,ns
fracked,frack,vd
fracks,frack,vs
frailer,frail,aj1
framed,frame,vd
framers,framer,ns
frames,frame,ms
framing,frame,vg
francs,franc,ns
franked,frank,vd
franker,frank,aj1
franks,frank,ms
frats,frat,ns
frauds,fraud,ns
frayed,fray,vd
fraying,fray,vg
frays,fray,ms
freaked,freak,vd
freaks,freak,ms
freed,free,vd
freeing,free,vg
freemen,freeman,ns
freer,free,a1
frees,free,vs
freest,free,a2
freezes,freeze,ms
fresher,fresh,a1
frets,fret,ms
fretted,fret,vd
friars,friar,ns
fridges,fridge,ns
fried,fry,vd
friends,friend,ms
fries,fry,ns
fries,fry,vs
friezes,frieze,ns
frigged,frig,vd
frights,fright,ms
frigs,frig,vs
frills,frill,ns
fringed,fringe,vd
fringes,fringe,ms
frisked,frisk,vd
frisks,frisk,vs
frizzed,frizz,vd
frizzes,frizz,ms
frocks,frock,ns
frogmen,frogman,ns
frogs,frog,ns
frolics,frolic,ms
fronds,frond,ns
fronted,front,vd
fronts,front,ms
frosted,frost,vd
frosts,frost,ms
frothed,froth,vd
froths,froth,vs
frowned,frown,vd
frowns,frown,ms
froze,freeze,vd
frozen,freeze,vn
fruited,fruit,vd
fruits,fruit,ns
fruits,fruit,vs
frumps,frump,ns
fryers,fryer,ns
frying,fry,vg
fuddled,fuddle,vd
fuddles,fuddle,ms
fudged,fudge,vd
fudges,fudge,vs
fudging,fudge,vg
fueled,fuel,vd
fueling,fuel,vg
fuels,fuel,ms
fugues,fugue,ns
fuhrers,fuhrer,ns
fulled,full,vd
fuller,full,a1
fullers,fuller,ns
fullest,full,a2
fulling,full,vg
fulls,full,vs
fumbled,fumble,vd
fumbles,fumble,ms
fumed,fume,vd
fumes,fume,ms
fumier,fumy,aj1
fumiest,fumy,aj2
fuming,fume,vg
funded,fund,vd
funders,funder,ns
funding,fund,vg
funds,fund,ms
fungi,fungus,ns
funked,funk,vd
funkier,funky,aj1
funking,funk,vg
funks,funk,ms
funnels,funnel,ms
funner,fun,aj1
funnest,fun,aj2
funnier,funny,aj1
funnies,funny,ns
furies,fury,ns
furled,furl,vd
furling,furl,vg
furls,furl,ms
furors,furor,ns
furred,fur,vd
furrier,furry,aj1
furring,fur,vg
furrows,furrow,ms
furs,fur,ms
fused,fuse,vd
fusees,fusee,ns
fuses,fuse,ms
fusing,fuse,vg
fusions,fusion,ns
fussed,fuss,vd
fusses,fuss,ms
fussier,fussy,aj1
fussing,fuss,vg
fustier,fusty,aj1
futons,futon,ns
futures,future,ns
futzed,futz,vd
futzes,futz,vs
futzing,futz,vg
fuzzed,fuzz,vd
fuzzes,fuzz,vs
fuzzier,fuzzy,aj1
fuzzing,fuzz,vg
gabbed,gab,vd
gabbier,gabby,aj1
gabbing,gab,vg
gabbled,gabble,vd
gabbles,gabble,vs
gables,gable,ns
gabs,gab,vs
gadded,gad,vd
gadders,gadder,ns
gadding,gad,vg
gadgets,gadget,ns
gads,gad,vs
gaffed,gaff,vd
gaffers,gaffer,ns
gaffes,gaffe,ns
gaffing,gaff,vg
gaffs,gaff,ms
gagged,gag,vd
gagging,gag,vg
gaggles,gaggle,ns
gags,gag,ms
gained,gain,vd
gainers,gainer,ns
gaining,gain,vg
gains,gain,ms
gaiters,gaiter,ns
gaits,gait,ns
galas,gala,ns
gales,gale,ns
galled,gall,vd
galleys,galley,ns
galling,gall,vg
gallons,gallon,ns
gallops,gallop,ms
galls,gall,ms
galoots,galoot,ns
gals,gal,ns
gambits,gambit,ns
gambled,gamble,vd
gambles,gamble,ms
gambols,gambol,ms
gamed,game,vd
gamer,game,aj1
games,game,ms
gamest,game,aj2
gametes,gamete,ns
gamier,gamy,aj1
gamiest,gamy,aj2
gamines,gamine,ns
gaming,game,vg
gamins,gamin,ns
gammas,gamma,ns
gamuts,gamut,ns
ganders,gander,ns
ganged,gang,vd
ganging,gang,vg
ganglia,ganglion,ns
gangs,gang,ms
gannets,gannet,ns
gaped,gape,vd
gapes,gape,ms
gaping,gape,vg
gaps,gap,ns
garaged,garage,vd
garages,garage,ms
garbed,garb,vd
garbing,garb,vg
garbled,garble,vd
garbles,garble,vs
garbs,garb,vs
garcons,garcon,ns
gardens,garden,ms
gargled,gargle,vd
gargles,gargle,ms
garners,garner,vs
garnets,garnet,ns
garrets,garret,ns
gars,gar,ns
garters,garter,ns
gasbags,gasbag,ns
gases,gas,ms
gashed,gash,vd
gashes,gash,ms
gashing,gash,vg
gaskets,gasket,ns
gaslit,gaslight,vd
gasmen,gasman,ns
gasped,gasp,vd
gasping,gasp,vg
gasps,gasp,ms
gassed,gas,vd
gassier,gassy,aj1
gassing,gas,vg
gateaux,gateau,ns
gated,gate,vd
gates,gate,ms
gathers,gather,ms
gating,gate,vg
gators,gator,ns
gaucher,gauche,aj1
gauchos,gaucho,ns
gaudier,gaudy,aj1
gauged,gauge,vd
gauges,gauge,ms
gauging,gauge,vg
gaunter,gaunt,aj1
gauzier,gauzy,aj1
gave,give,vd
gavels,gavel,ns
gawked,gawk,vd
gawkers,gawker,ns
gawkier,gawky,aj1
gawking,gawk,vg
gawks,gawk,vs
gawped,gawp,vd
gawping,gawp,vg
gawps,gawp,vs
gayer,gay,aj1
gayest,gay,aj2
gays,gay,ns
gazebos,gazebo,ns
gazed,gaze,vd
gazers,gazer,ns
gazes,gaze,ms
gazing,gaze,vg
gazumps,gazump,vs
geared,gear,vd
gearing,gear,vg
gears,gear,ms
geckos,gecko,ns
geed,gee,vd
geeing,gee,vg
geekier,geeky,aj1
geeks,geek,ns
gees,gee,vs
geese,goose,ns
geezers,geezer,ns
geishas,geisha,ns
gelcaps,gelcap,ns
gelded,geld,vd
gelding,geld,vg
gelds,geld,vs
gelled,gel,vd
gelling,gel,vg
gels,gel,ms
gems,gem,ns
genders,gender,ns
genera,genus,ns
genes,gene,ns
geneses,genesis,ns
genies,genie,ns
genii,genius,ns
genned,gen,vd
genning,gen,vg
genomes,genome,ns
genres,genre,ns
gens,gen,ns
gens,gen,vs
gentled,gentle,vd
gentler,gentle,aj1
gentles,gentle,vs
gents,gent,ns
geodes,geode,ns
gerbils,gerbil,ns
germs,germ,ns
gerunds,gerund,ns
gets,get,ms
getting,get,vg
getups,getup,ns
gewgaws,gewgaw,ns
geysers,geyser,ms
ghats,ghat,ns
ghettos,ghetto,ns
ghosted,ghost,vd
ghosts,ghost,ms
ghouls,ghoul,ns
giants,giant,ns
gibbers,gibber,vs
gibbets,gibbet,ns
gibbets,gibbet,vs
gibbons,gibbon,ns
gibed,gibe,vd
gibes,gibe,ms
