word,lemma,esdb_pos
axles,axle,ns
axons,axon,ns
ayahs,ayah,ns
ayes,aye,ns
azaleas,azalea,ns
azures,azure,ns
baaed,baa,vd
baaing,baa,vg
baas,baa,ms
babbled,babble,vd
babbles,babble,vs
babels,babel,ns
babes,babe,ns
babied,baby,vd
babies,baby,ms
baboons,baboon,ns
babying,baby,vg
babysat,babysit,vn
bacilli,bacillus,ns
backbit,backbite,vd
backed,back,vd
backers,backer,ns
backing,back,vg
backs,back,ms
backups,backup,ns
badder,bad,a1
baddest,bad,a2
baddies,baddie,ns
badgers,badger,ms
badges,badge,ns
badmen,badman,ns
baffled,baffle,vd
baffles,baffle,ms
bagels,bagel,ns
bagfuls,bagful,ns
bagged,bag,vd
baggers,bagger,ns
baggier,baggy,aj1
baggies,baggie,ns
bagging,bag,vg
bags,bag,ms
bahts,baht,ns
bailed,bail,vd
baileys,bailey,ns
bailing,bail,vg
bails,bail,ms
bairns,bairn,ns
baited,bait,vd
baiting,bait,vg
baits,bait,vs
baked,bake,vd
bakers,baker,ns
bakes,bake,ms
baking,bake,vg
balboas,balboa,ns
balded,bald,vd
balder,bald,aj1
baldest,bald,aj2
baldies,baldy,ns
balding,bald,vg
balds,bald,vs
baled,bale,vd
balers,baler,ns
bales,bale,ms
baling,bale,vg
balked,balk,vd
balkier,balky,aj1
balking,balk,vg
balks,balk,ms
ballads,ballad,ns
balled,ball,vd
ballers,baller,ns
ballets,ballet,ns
balling,ball,vg
ballots,ballot,ms
balls,ball,ms
ballsed,balls,vd
ballses,balls,vs
balmier,balmy,aj1
balms,balm,ns
balsams,balsam,ns
balsas,balsa,ns
bamboos,bamboo,ns
bananas,banana,ns
banded,band,vd
bandied,bandy,vd
bandies,bandy,vs
banding,band,vg
bandits,bandit,ns
bands,band,ms
banes,bane,ns
banged,bang,vd
banging,bang,vg
bangles,bangle,ns
bangs,bang,ms
bani,ban,ns
banjos,banjo,ns
banked,bank,vd
bankers,banker,ns
banking,bank,vg
banks,bank,ms
banned,ban,vd
banners,banner,ns
banning,ban,vg
bans,ban,ns
bans,ban,vs
bantams,bantam,ns
banters,banter,vs
banyans,banyan,ns
banzais,banzai,ns
baobabs,baobab,ns
baps,bap,ns
barbed,barb,vd
barbels,barbel,ns
barbers,barber,ms
barbies,barbie,ns
barbing,barb,vg
barbs,barb,ms
bards,bard,ns
bared,bare,vd
barer,bare,aj1
bares,bare,vs
barest,bare,aj2
barfed,barf,vd
barfing,barf,vg
barfs,barf,vs
barged,barge,vd
barges,barge,ms
