word,rarity,reason
akra,4,outside-filtered-American-60-80
ala,3,outside-filtered-American-60-80
alamo,3,larger-level-not-approved
alan,2,outside-filtered-American-60-80
aland,4,outside-filtered-American-60-80
alanine,4,larger-level-not-approved
alar,4,larger-level-not-approved
alba,3,larger-level-not-approved
albergo,4,outside-filtered-American-60-80
albero,4,outside-filtered-American-60-80
albite,4,larger-level-not-approved
alcaide,4,larger-level-not-approved
alce,4,outside-filtered-American-60-80
alcopop,4,larger-level-not-approved
aldrin,4,larger-level-not-approved
aleph,4,larger-level-not-approved
alexia,4,larger-level-not-approved
alf,4,outside-filtered-American-60-80
alfa,4,larger-level-not-approved
algid,4,larger-level-not-approved
algo,4,outside-filtered-American-60-80
alicorn,4,outside-filtered-American-60-80
alim,4,outside-filtered-American-60-80
aliped,4,larger-level-not-approved
aliquot,4,larger-level-not-approved
alkane,4,larger-level-not-approved
alkene,4,larger-level-not-approved
alkyl,3,larger-level-not-approved
alkyne,4,larger-level-not-approved
allo,4,outside-filtered-American-60-80
allyl,4,larger-level-not-approved
alma,3,outside-filtered-American-60-80
aloo,4,larger-level-not-approved
als,4,outside-filtered-American-60-80
alt,4,larger-level-not-approved
alta,4,outside-filtered-American-60-80
althea,4,larger-level-not-approved
alus,4,outside-filtered-American-60-80
ama,4,larger-level-not-approved
amadawn,4,outside-filtered-American-60-80
amant,4,outside-filtered-American-60-80
amas,4,larger-level-not-approved
amate,4,outside-filtered-American-60-80
amative,4,larger-level-not-approved
ambos,4,larger-level-not-approved
amicus,4,larger-level-not-approved
amidst,3,outside-filtered-American-60-80
amiga,4,outside-filtered-American-60-80
amir,3,outside-filtered-American-60-80
amm,4,outside-filtered-American-60-80
amma,4,larger-level-not-approved
amock,4,outside-filtered-American-60-80
amongst,2,outside-filtered-American-60-80
amorist,4,larger-level-not-approved
amort,4,larger-level-not-approved
amscray,4,outside-filtered-American-60-80
amuck,4,outside-filtered-American-60-80
amuser,4,larger-level-not-approved
amyl,4,larger-level-not-approved
ana,3,larger-level-not-approved
anaemia,4,outside-filtered-American-60-80
anaemic,4,outside-filtered-American-60-80
anagoge,4,larger-level-not-approved
analyse,4,outside-filtered-American-60-80
ananas,4,outside-filtered-American-60-80
ananke,4,outside-filtered-American-60-80
anarch,4,larger-level-not-approved
anas,3,larger-level-not-approved
anatine,4,outside-filtered-American-60-80
anatta,4,outside-filtered-American-60-80
ancho,4,larger-level-not-approved
ancilla,4,larger-level-not-approved
ancora,4,outside-filtered-American-60-80
ande,4,outside-filtered-American-60-80
anglo,4,larger-level-not-approved
ani,3,larger-level-not-approved
anima,3,larger-level-not-approved
animat,4,outside-filtered-American-60-80
ann,2,outside-filtered-American-60-80
anna,2,larger-level-not-approved
annulet,4,larger-level-not-approved
annum,4,outside-filtered-American-60-80
anoa,4,larger-level-not-approved
anomia,4,larger-level-not-approved
anonym,4,larger-level-not-approved
anosmia,4,larger-level-not-approved
anosmic,4,larger-level-not-approved
anoxia,4,larger-level-not-approved
anoxic,4,larger-level-not-approved
ans,4,outside-filtered-American-60-80
ansa,4,outside-filtered-American-60-80
ansatz,4,outside-filtered-American-60-80
ansible,4,outside-filtered-American-60-80
antigay,4,larger-level-not-approved
antilog,4,larger-level-not-approved
antlion,4,outside-filtered-American-60-80
anxitie,4,outside-filtered-American-60-80
anyroad,4,outside-filtered-American-60-80
anyways,2,larger-level-not-approved
aortae,4,outside-filtered-American-60-80
aortal,4,larger-level-not-approved
apa,4,outside-filtered-American-60-80
aper,4,larger-level-not-approved
apert,4,outside-filtered-American-60-80
aphesis,4,larger-level-not-approved
aphetic,4,larger-level-not-approved
apian,4,larger-level-not-approved
apices,4,outside-filtered-American-60-80
apocope,4,larger-level-not-approved
apod,4,larger-level-not-approved
apodal,4,larger-level-not-approved
apollo,3,larger-level-not-approved
